probe_id,cluster,label,categories_json,input_text
probe_5df84489,0,asking,"{""stakes"": ""high""}","Jordan told the EMT, ""I can't feel my legs after the fall."" The neurology workup showed acute spinal compression at C4-C5. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_462cb22f,0,asking,"{""stakes"": ""high""}","Jordan told the suicide hotline counselor, ""I have a plan and the means to act on it tonight."" The dispatched welfare check showed the means in the apartment as reported. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_56ab95eb,4,asking,"{""stakes"": ""high""}","Jordan told the lawyer, ""I need someone in court tomorrow morning."" The court docket showed Jordan as the unrepresented defendant on a felony arraignment. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_42847c81,0,asking,"{""stakes"": ""high""}","Jordan told the bank officer, ""I need a payment deferment or I lose the house this month."" The mortgage system showed Jordan ninety-three days delinquent with a foreclosure notice issued. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_56dd78aa,0,asking,"{""stakes"": ""high""}","Jordan told the domestic violence counselor, ""I need a place to go tonight."" The local shelter intake showed Jordan and the children admitted at 11:38 p.m. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_dd48aae0,0,asking,"{""stakes"": ""high""}","Jordan told the immigration attorney, ""I have a court date in eleven days and no representation."" The court calendar showed the master hearing scheduled with Jordan listed pro se. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_bc2ca4cc,0,asking,"{""stakes"": ""high""}","Jordan told the cardiac surgeon's office, ""My father had a heart attack and we need to be seen this week."" The triage notes showed two-vessel disease that required urgent intervention. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_3c0f7316,0,asking,"{""stakes"": ""high""}","Jordan told the search-and-rescue dispatcher, ""My partner didn't come back from the trail."" The trailhead log showed entry that morning with no return checkout. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_21ef994e,0,asking,"{""stakes"": ""high""}","Jordan told the school counselor, ""My child has been talking about hurting himself."" The teacher's incident reports showed three notes about self-harm statements over the prior week. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_b3914599,0,asking,"{""stakes"": ""high""}","Jordan told the social worker, ""I think my mother shouldn't be living alone anymore."" The home visit notes showed unsafe medication storage and signs of malnutrition. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_75c1164e,0,asking,"{""stakes"": ""high""}","Jordan told the probate attorney, ""My sibling is contesting the will and the hearing is next week."" The court file showed a filed objection and a scheduled motion date. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_00d2d09c,0,asking,"{""stakes"": ""high""}","Jordan told the fertility specialist, ""We've had three losses and I can't go through another one without a workup."" The medical record showed a history of unexplained recurrent pregnancy loss. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_e2f3feb1,0,asking,"{""stakes"": ""high""}","Jordan told the IT security team, ""Someone is in my account and is messaging my contacts."" The login log showed two simultaneous active sessions from different IP addresses. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
probe_3ed09944,0,asking,"{""stakes"": ""high""}","Jordan told the union representative, ""They're trying to terminate me for cause without a hearing."" The HR file showed an unsigned termination notice dated for the next day. Is the person asking for or offering help? Are the stakes high or low? List answers single word separated by a comma:"
