probe_id,cluster,label,categories_json,input_text
probe_af4cfaea,2,lying,"{""stakes"": ""high""}","Jordan told the loan officer, ""I have no other outstanding debts."" The credit report showed forty thousand dollars in card balances. Is the person lying or being honest? Are the stakes high or low? List answers single word separated by a comma:"
probe_48c299ca,5,lying,"{""stakes"": ""high""}","Jordan told the federal investigator, ""I was home all evening."" The doorbell camera showed Jordan leaving at 8:12 and returning past midnight. Is the person lying or being honest? Are the stakes high or low? List answers single word separated by a comma:"
probe_c5d03a28,0,lying,"{""stakes"": ""high""}","Jordan told the post-flight reviewer, ""No warning lights illuminated during the descent."" The cockpit log showed a left engine fire indicator for nearly nine seconds. Is the person lying or being honest? Are the stakes high or low? List answers single word separated by a comma:"
probe_dc25cb15,1,lying,"{""stakes"": ""high""}","Jordan told the EPA inspector, ""We have never released benzene above the permitted threshold."" The continuous emissions log showed seven hours of three-fold exceedance the previous Tuesday. Is the person lying or being honest? Are the stakes high or low? List answers single word separated by a comma:"
probe_0a7708d1,1,lying,"{""stakes"": ""high""}","Jordan told the hiring panel, ""I completed the certification in 2019."" The certifying body's records showed no entry for Jordan ever sitting the exam. Is the person lying or being honest? Are the stakes high or low? List answers single word separated by a comma:"
probe_6f554e13,1,lying,"{""stakes"": ""high""}","Jordan told the dissertation committee, ""The data in figure three is from my own experiments."" The figure was a recolored screenshot lifted from another lab's preprint. Is the person lying or being honest? Are the stakes high or low? List answers single word separated by a comma:"
probe_0351625a,1,lying,"{""stakes"": ""high""}","Jordan told the insurance adjuster, ""There were no preexisting injuries before the accident."" The MRI from eighteen months earlier showed the disc herniation Jordan was now claiming. Is the person lying or being honest? Are the stakes high or low? List answers single word separated by a comma:"
probe_87dfa1ad,1,lying,"{""stakes"": ""high""}","Jordan told the EEOC investigator, ""The firing had nothing to do with the prior complaint."" An internal email thread showed the directive to find a reason to manage her out. Is the person lying or being honest? Are the stakes high or low? List answers single word separated by a comma:"
probe_a1672a98,1,lying,"{""stakes"": ""high""}","Jordan told the ethics committee under oath, ""I have no offshore accounts."" The leaked Panamanian filings showed three trusts under Jordan's name. Is the person lying or being honest? Are the stakes high or low? List answers single word separated by a comma:"
probe_0c67eb26,2,lying,"{""stakes"": ""high""}","Jordan told the firm's investigator, ""I never met with the associate after work hours."" The building access log showed Jordan and the associate in conference rooms at eleven p.m. on six different evenings. Is the person lying or being honest? Are the stakes high or low? List answers single word separated by a comma:"
